NCCP code,Protocol,Path,Change class
00794,Sacituzumab Govitecan Therapy,protocols/breast/00794-sacituzumab-govitecan.json,Governance and provenance hardening
00796,Pertuzumab/Trastuzumab (Phesgo®) and Docetaxel Therapy,protocols/breast/00796-phesgo-docetaxel.json,Governance and provenance hardening
00797,Pertuzumab/Trastuzumab (Phesgo®) and Weekly Paclitaxel Therapy,protocols/breast/00797-phesgo-paclitaxel.json,Governance and provenance hardening
00798,Pertuzumab/Trastuzumab (Phesgo®) and Vinorelbine Therapy,protocols/breast/00798-phesgo-vinorelbine.json,Rule integrity correction
00815,Paclitaxel 80 mg/m² weekly and Trastuzumab 21-day,protocols/breast/00815-paclitaxel-weekly-trastuzumab-3weekly.json,Direct source fidelity reconciliation
00857,"Pembrolizumab, Carboplatin AUC 5 and weekly Paclitaxel 80 mg/m² followed by Doxorubicin and Cyclophosphamide (AC 60/600) Therapy",protocols/breast/00857-pembro-carbo-paclitaxel-ac.json,Governance and provenance hardening
00858,"Pembrolizumab 200 mg, weekly Carboplatin AUC 1.5 and Paclitaxel 80 mg/m² followed by Doxorubicin and Cyclophosphamide Therapy",protocols/breast/00858-pembro-weekly-carbo-paclitaxel-ac.json,Governance and provenance hardening
00860,"Pembrolizumab 400 mg, Carboplatin AUC 5 and weekly Paclitaxel followed by dose-dense AC",protocols/breast/00860-pembro400-carbo-paclitaxel-ddac.json,Governance and provenance hardening
00861,"Pembrolizumab 400 mg, weekly Carboplatin AUC 1.5 and Paclitaxel followed by dose-dense AC",protocols/breast/00861-pembro400-weekly-carbo-paclitaxel-ddac.json,Governance and provenance hardening
00892,Ribociclib Therapy (Adjuvant) - 28 day,protocols/breast/00892-ribociclib-adjuvant.json,Governance and provenance hardening
00936,"Tucatinib, Trastuzumab and Capecitabine Therapy - 21 days",protocols/breast/00936-tucatinib-trastuzumab-capecitabine.json,Governance and provenance hardening
00212,Bevacizumab 10 mg/kg – 14 days,protocols/breast/00212-bevacizumab-q14d.json,Context or source identity correction
00203,Docetaxel Monotherapy 75 mg/m² – 21 day cycle,protocols/breast/00203-docetaxel-75-21-day.json,Governance and provenance hardening
00226,"Paclitaxel Monotherapy 80mg/m² Day 1, 8, 15 and 22 – 28 Day",protocols/shared/00226-paclitaxel-monotherapy-weekly.json,Governance and provenance hardening
00621,"Paclitaxel 80 mg/m² Days 1, 8 and 15 – 28 day",protocols/breast/00621-paclitaxel-weekly-3-of-4.json,Governance and provenance hardening
00251,Carboplatin AUC 4-6 Monotherapy - 28 day,protocols/breast/00251-carboplatin-q28d.json,Governance and provenance hardening
00261,Carboplatin AUC 4-6 Monotherapy - 21 day,protocols/breast/00261-carboplatin-q21d.json,Governance and provenance hardening
00205,Pegylated Liposomal Doxorubicin 50 mg/m² – 28 day,protocols/breast/00205-pegylated-liposomal-doxorubicin.json,Governance and provenance hardening
00259,Oral Vinorelbine Monotherapy - 7 days,protocols/breast/00259-vinorelbine-oral.json,Governance and provenance hardening
00232,Intravenous Vinorelbine Monotherapy - 21 days,protocols/breast/00232-vinorelbine-iv.json,Rule integrity correction
00228,Eribulin Monotherapy,protocols/breast/00228-eribulin-monotherapy.json,Governance and provenance hardening
00209,FOLFOX-6 Modified Therapy – 14 day,protocols/gastrointestinal/00209-modified-folfox6.json,Governance and provenance hardening
00210,FOLFOX-4 Therapy – 14 day,protocols/gastrointestinal/00210-folfox-4-therapy-14-day.json,Governance and provenance hardening
00213,Irinotecan Monotherapy – 21 day,protocols/gastrointestinal/00213-irinotecan-monotherapy-21-day.json,Governance and provenance hardening
00216,Capecitabine Monotherapy,protocols/gastrointestinal/00216-capecitabine-monotherapy.json,Governance and provenance hardening
00225,Panitumumab 6 mg/kg Therapy,protocols/gastrointestinal/00225-panitumumab-6-mg-kg-therapy.json,Governance and provenance hardening
00227,FOLFIRI Therapy - 14 day,protocols/gastrointestinal/00227-folfiri.json,Governance and provenance hardening
00235,Teysuno (S-1) and Cisplatin – 28 day,protocols/gastrointestinal/00235-teysuno-s-1-and-cisplatin-28-day.json,Rule integrity correction
00238,Aflibercept and FOLFIRI Therapy -14 day,protocols/gastrointestinal/00238-aflibercept-folfiri.json,Governance and provenance hardening
00239,"EOX: Epirubicin, Oxaliplatin and Capecitabine Therapy",protocols/gastrointestinal/00239-eox-epirubicin-oxaliplatin-and-capecitabine-therapy.json,Governance and provenance hardening
00240,"ECF: Epirubicin, Cisplatin and 5-Fluorouracil Therapy",protocols/gastrointestinal/00240-ecf-epirubicin-cisplatin-and-5-fluorouracil-therapy.json,Governance and provenance hardening
00256,nab-Paclitaxel and Gemcitabine Therapy -28 day,protocols/gastrointestinal/00256-nab-paclitaxel-gemcitabine.json,Governance and provenance hardening
00283,Gemcitabine 1000 mg/m² Monotherapy – 56 day,protocols/gastrointestinal/00283-gemcitabine-1000-mg-m2-monotherapy-56-day.json,Governance and provenance hardening
00321,Capecitabine and Oxaliplatin Therapy (XELOX),protocols/gastrointestinal/00321-xelox-capox.json,Governance and provenance hardening
00328,Cetuximab (7 day) and FOLFIRI (14 day) Therapy,protocols/gastrointestinal/00328-cetuximab-7-day-and-folfiri-14-day-therapy.json,Governance and provenance hardening
00329,FOLFIRINOX Therapy,protocols/gastrointestinal/00329-folfirinox.json,Governance and provenance hardening
00330,Cetuximab (7 day) and Irinotecan (14 day) Therapy,protocols/gastrointestinal/00330-cetuximab-7-day-and-irinotecan-14-day-therapy.json,Governance and provenance hardening
00331,Cetuximab (14 day) and Irinotecan (14 day) Therapy,protocols/gastrointestinal/00331-cetuximab-14-day-and-irinotecan-14-day-therapy.json,Governance and provenance hardening
00344,FLOT Therapy – 14 day,protocols/gastrointestinal/00344-flot-therapy-14-day.json,Governance and provenance hardening
00380,"ECX: Epirubicin, Cisplatin and Capecitabine Therapy",protocols/gastrointestinal/00380-ecx-epirubicin-cisplatin-and-capecitabine-therapy.json,Rule integrity correction
00382,Trifluridine and Tipiracil (Lonsurf®) Therapy,protocols/gastrointestinal/00382-trifluridine-tipiracil.json,Governance and provenance hardening
00383,Gemcitabine 1000 mg/m² and Cisplatin 25 mg/m² – 21 day,protocols/gastrointestinal/00383-gemcitabine-1000-mg-m2-and-cisplatin-25-mg-m2-21-day.json,Governance and provenance hardening
00384,Gemcitabine 1000 mg/m² and Capecitabine 650 mg/m² – 21 day,protocols/gastrointestinal/00384-gemcitabine-1000-mg-m2-and-capecitabine-650-mg-m2-21-day.json,Governance and provenance hardening
00386,Doxorubicin 60 mg/m² Therapy,protocols/gastrointestinal/00386-doxorubicin-60-mg-m2-therapy.json,Governance and provenance hardening
00421,5-Fluorouracil Continuous Infusion and Radiotherapy,protocols/gastrointestinal/00421-5-fluorouracil-continuous-infusion-and-radiotherapy.json,Governance and provenance hardening
00422,Carboplatin AUC2 and Paclitaxel 50 mg/m² Weekly with Radiotherapy,protocols/gastrointestinal/00422-carboplatin-auc2-and-paclitaxel-50-mg-m2-weekly-with-radiotherapy.json,Governance and provenance hardening
00427,Roswell Park Modified 5-Fluorouracil and Folinic Acid,protocols/gastrointestinal/00427-roswell-park-modified-5-fluorouracil-and-folinic-acid.json,Governance and provenance hardening
00428,QUASAR Modified 5-Fluorouracil and Folinic Acid Weekly,protocols/gastrointestinal/00428-quasar-modified-5-fluorouracil-and-folinic-acid-weekly.json,Governance and provenance hardening
00429,"EOF: Epirubicin, Oxaliplatin and 5-Fluorouracil Therapy",protocols/gastrointestinal/00429-eof-epirubicin-oxaliplatin-and-5-fluorouracil-therapy.json,Governance and provenance hardening
00446,Bevacizumab 5mg/kg and Modified FOLFOX-6 Therapy -14 day,protocols/gastrointestinal/00446-bevacizumab-modified-folfox6.json,Governance and provenance hardening
00447,Panitumumab 6mg/kg and Modified FOLFOX-6 Therapy -14 day,protocols/gastrointestinal/00447-panitumumab-modified-folfox6.json,Governance and provenance hardening
00448,Panitumumab 6mg/kg and FOLFIRI Therapy -14 day,protocols/gastrointestinal/00448-panitumumab-folfiri.json,Governance and provenance hardening
00449,Bevacizumab 5mg/kg and FOLFIRI Therapy -14 day,protocols/gastrointestinal/00449-bevacizumab-folfiri.json,Governance and provenance hardening
00451,"5-Fluorouracil (4 day), Mitomycin and Radiotherapy",protocols/gastrointestinal/00451-5-fluorouracil-4-day-mitomycin-and-radiotherapy.json,Governance and provenance hardening
00460,Cisplatin 75 mg/m² and 5-Fluorouracil Chemoradiation (Herskovic),protocols/gastrointestinal/00460-cisplatin-75-mg-m2-and-5-fluorouracil-chemoradiation-herskovic.json,Rule integrity correction
00473,Cisplatin and Capecitabine Adjuvant Chemoradiation Therapy,protocols/gastrointestinal/00473-cisplatin-and-capecitabine-adjuvant-chemoradiation-therapy.json,Rule integrity correction
00486,FLOX Therapy,protocols/gastrointestinal/00486-flox-therapy.json,Governance and provenance hardening
00502,"Trastuzumab, 5-Fluorouracil and Cisplatin Therapy – 21 day",protocols/gastrointestinal/00502-trastuzumab-5-fluorouracil-and-cisplatin-therapy-21-day.json,Rule integrity correction
00505,Capecitabine and Temozolomide Therapy,protocols/gastrointestinal/00505-capecitabine-and-temozolomide-therapy.json,Governance and provenance hardening
00509,Modified FOLFOX-6 Chemoradiation Therapy – 14 day,protocols/gastrointestinal/00509-modified-folfox-6-chemoradiation-therapy-14-day.json,Governance and provenance hardening
00515,FOLFIRINOX Modified Therapy,protocols/gastrointestinal/00515-modified-folfirinox.json,Rule integrity correction
00521,Gemcitabine 1000 mg/m² and Radiotherapy,protocols/gastrointestinal/00521-gemcitabine-1000-mg-m2-and-radiotherapy.json,Governance and provenance hardening
00522,Gemcitabine 400 mg/m² and Radiotherapy,protocols/gastrointestinal/00522-gemcitabine-400-mg-m2-and-radiotherapy.json,Governance and provenance hardening
00523,Capecitabine and Radiotherapy – 7 day,protocols/gastrointestinal/00523-capecitabine-and-radiotherapy-7-day.json,Governance and provenance hardening
00524,Gemcitabine 1000 mg/m² and Capecitabine 830 mg/m² – 28 day,protocols/gastrointestinal/00524-gemcitabine-1000-mg-m2-and-capecitabine-830-mg-m2-28-day.json,Governance and provenance hardening
00555,FOLFOXIRI Therapy,protocols/gastrointestinal/00555-folfoxiri.json,Governance and provenance hardening
00559,Gemcitabine 600 mg/m² and Radiotherapy,protocols/gastrointestinal/00559-gemcitabine-600-mg-m2-and-radiotherapy.json,Governance and provenance hardening
00585,Cetuximab (14 day) and FOLFIRI (14 day) Therapy,protocols/gastrointestinal/00585-cetuximab-14-day-and-folfiri-14-day-therapy.json,Governance and provenance hardening
00586,Capecitabine 825 mg/m² and Radiotherapy – 7 day,protocols/gastrointestinal/00586-capecitabine-825-mg-m2-and-radiotherapy-7-day.json,Governance and provenance hardening
00594,"Cisplatin, 5-Fluorouracil and Radiation Therapy",protocols/gastrointestinal/00594-cisplatin-5-fluorouracil-and-radiation-therapy.json,Governance and provenance hardening
00623,Bevacizumab 7.5 mg/kg and Capecitabine 1250 mg/m² Therapy,protocols/gastrointestinal/00623-bevacizumab-7-5-mg-kg-and-capecitabine-1250-mg-m2-therapy.json,Governance and provenance hardening
00644,Lenvatinib Therapy – HCC,protocols/gastrointestinal/00644-lenvatinib-therapy-hcc.json,Governance and provenance hardening
00654,Irinotecan 150 mg/m² Monotherapy – 28 day,protocols/gastrointestinal/00654-irinotecan-150-mg-m2-monotherapy-28-day.json,Governance and provenance hardening
00660,5-Fluorouracil and Folinic Acid Therapy - 14 day,protocols/gastrointestinal/00660-5fu-folinic-acid.json,Governance and provenance hardening
00691,FOLFIRINOX Therapy – Rectal Carcinoma,protocols/gastrointestinal/00691-folfirinox-therapy-rectal-carcinoma.json,Governance and provenance hardening
00692,Cetuximab and FOLFOX-4 Therapy,protocols/gastrointestinal/00692-cetuximab-and-folfox-4-therapy.json,Governance and provenance hardening
00704,Trastuzumab and FOLFOX-6 Modified Therapy -14 day,protocols/gastrointestinal/00704-trastuzumab-modified-folfox6.json,Governance and provenance hardening
00727,Mitomycin and Capecitabine Chemoradiation Therapy,protocols/gastrointestinal/00727-mitomycin-and-capecitabine-chemoradiation-therapy.json,Governance and provenance hardening
00732,Cetuximab Therapy – 14 days,protocols/gastrointestinal/00732-cetuximab-therapy-14-days.json,Governance and provenance hardening
00733,Cetuximab and modified FOLFOX-6 Therapy,protocols/gastrointestinal/00733-cetuximab-and-modified-folfox-6-therapy.json,Governance and provenance hardening
00739,"Pembrolizumab, Cisplatin and 5-Fluorouracil Infusional Therapy",protocols/gastrointestinal/00739-pembrolizumab-cisplatin-and-5-fluorouracil-infusional-therapy.json,Governance and provenance hardening
00783,Bevacizumab 5 mg/kg and FOLFOXIRI Therapy – 14 day,protocols/gastrointestinal/00783-bevacizumab-5-mg-kg-and-folfoxiri-therapy-14-day.json,Governance and provenance hardening
00791,"Bevacizumab 5 mg/kg, 5-Fluorouracil and Folinic Acid Therapy – 14 day",protocols/gastrointestinal/00791-bevacizumab-5-mg-kg-5-fluorouracil-and-folinic-acid-therapy-14-day.json,Governance and provenance hardening
00816,"Nivolumab 14 day, Cisplatin and 5-Fluorouracil Therapy",protocols/gastrointestinal/00816-nivolumab-14-day-cisplatin-and-5-fluorouracil-therapy.json,Governance and provenance hardening
00831,Atezolizumab and Bevacizumab Therapy,protocols/gastrointestinal/00831-atezolizumab-bevacizumab-hcc.json,Governance and provenance hardening
00832,"Nivolumab 28 day, Cisplatin and 5-Fluorouracil Therapy",protocols/gastrointestinal/00832-nivolumab-28-day-cisplatin-and-5-fluorouracil-therapy.json,Governance and provenance hardening
00839,Pembrolizumab and Modified FOLFOX-6 Therapy,protocols/gastrointestinal/00839-pembrolizumab-and-modified-folfox-6-therapy.json,Governance and provenance hardening
00843,Nivolumab and XELOX Therapy,protocols/gastrointestinal/00843-nivolumab-xelox.json,Governance and provenance hardening
00844,Nivolumab and FOLFOX-6 Modified Therapy,protocols/gastrointestinal/00844-nivolumab-modified-folfox6.json,Governance and provenance hardening
00889,Pemigatinib Therapy,protocols/gastrointestinal/00889-pemigatinib-therapy.json,Governance and provenance hardening
00890,Fruquintinib Monotherapy,protocols/gastrointestinal/00890-fruquintinib-monotherapy.json,Governance and provenance hardening
00897,"Durvalumab 1500 mg, Gemcitabine 1000 mg/m² and Cisplatin 25 mg/m² Therapy",protocols/gastrointestinal/00897-durvalumab-gemcitabine-cisplatin.json,Governance and provenance hardening
00900,Nivolumab 240 mg and Ipilimumab 1 mg/kg Therapy,protocols/gastrointestinal/00900-nivolumab-240-mg-and-ipilimumab-1-mg-kg-therapy.json,Governance and provenance hardening
00901,Ivosidenib Therapy,protocols/gastrointestinal/00901-ivosidenib-therapy.json,Governance and provenance hardening
00924,Tislelizumab and CAPOX Therapy,protocols/gastrointestinal/00924-tislelizumab-and-capox-therapy.json,Governance and provenance hardening
00925,Tislelizumab and Modified FOLFOX-6 Therapy,protocols/gastrointestinal/00925-tislelizumab-and-modified-folfox-6-therapy.json,Governance and provenance hardening
00926,Tremelimumab and Durvalumab Therapy,protocols/gastrointestinal/00926-tremelimumab-durvalumab.json,Governance and provenance hardening
00294,Sorafenib Therapy,protocols/gastrointestinal/00294-sorafenib-therapy.json,Governance and provenance hardening
00320,Everolimus Monotherapy,protocols/shared/00320-everolimus-monotherapy.json,Governance and provenance hardening
00551,Nivolumab 3 mg/kg with Ipilimumab 1 mg/kg Therapy,protocols/shared/00551-nivolumab-3-mg-kg-with-ipilimumab-1-mg-kg-therapy.json,Governance and provenance hardening
00207,Cetuximab Therapy – 7 days,protocols/gastrointestinal/00207-cetuximab-therapy-7-days.json,Governance and provenance hardening
00214,Bevacizumab 7.5 mg/kg – 21 days,protocols/shared/00214-bevacizumab-7-5-mg-kg-21-days.json,Governance and provenance hardening
00284,Gemcitabine 1000 mg/m² Monotherapy – 28 day,protocols/shared/00284-gemcitabine-1000-mg-m2-monotherapy-28-day.json,Governance and provenance hardening
00483,Nivolumab Monotherapy – 14 day,protocols/shared/00483-nivolumab-monotherapy-14-day.json,Governance and provenance hardening
00484,Nivolumab Monotherapy – 28 day,protocols/shared/00484-nivolumab-monotherapy-28-day.json,Governance and provenance hardening
00215,Bevacizumab 15 mg/kg Therapy — 21 days,protocols/shared/00215-bevacizumab-15mgkg.json,Context or source identity correction
00455,Pembrolizumab 200 mg Monotherapy,protocols/shared/00455-pembrolizumab-200-mg-monotherapy.json,Governance and provenance hardening
00642,Lutetium-177 Oxodotreotide (Lutathera) Therapy,protocols/gastrointestinal/00642-lutetium-177-oxodotreotide-lutathera-therapy.json,Governance and provenance hardening
00244,Regorafenib Monotherapy,protocols/gastrointestinal/00244-regorafenib.json,Governance and provenance hardening
00101,Cabazitaxel and Prednisolone Therapy,protocols/genitourinary/00101-cabazitaxel-prednisolone.json,Governance and provenance hardening
00103,Abiraterone and prednisolone Therapy (mCRPC),protocols/genitourinary/00103-abiraterone-prednisolone-mcrpc.json,Governance and provenance hardening
00104,Axitinib Monotherapy,protocols/genitourinary/00104-axitinib-monotherapy.json,Governance and provenance hardening
00233,Enzalutamide Monotherapy,protocols/genitourinary/00233-enzalutamide.json,Governance and provenance hardening
00257,Radium-223 Therapy,protocols/genitourinary/00257-radium-223.json,Governance and provenance hardening
00282,Gemcitabine and Cisplatin 70 mg/m² – 28 day,protocols/genitourinary/00282-gemcitabine-and-cisplatin-70-mg-m-28-day.json,Governance and provenance hardening
00313,Docetaxel Monotherapy 50 mg/m² – 14 day cycle,protocols/genitourinary/00313-docetaxel-50-q14d.json,Governance and provenance hardening
00326,Temsirolimus Therapy,protocols/genitourinary/00326-temsirolimus-therapy.json,Governance and provenance hardening
00333,"Dose-dense Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) – 14 day",protocols/genitourinary/00333-dose-dense-methotrexate-vinblastine-doxorubicin-and-cisplatin-mvac-14-day.json,Governance and provenance hardening
00337,"Cisplatin, Methotrexate and Vinblastine (CMV) Therapy",protocols/genitourinary/00337-cisplatin-methotrexate-and-vinblastine-cmv-therapy.json,Governance and provenance hardening
00338,"Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) – 28 day",protocols/genitourinary/00338-methotrexate-vinblastine-doxorubicin-and-cisplatin-mvac-28-day.json,Governance and provenance hardening
00450,Mitomycin and 5-Fluorouracil with Radiotherapy,protocols/genitourinary/00450-mitomycin-and-5-fluorouracil-with-radiotherapy.json,Governance and provenance hardening
00453,Carboplatin AUC 7 and Etoposide 750 mg/m² Therapy,protocols/genitourinary/00453-carboplatin-auc-7-and-etoposide-750-mg-m-therapy.json,Governance and provenance hardening
00477,Goserelin 10.8 mg Therapy – 12 weeks,protocols/genitourinary/00477-goserelin-10-8mg-q12weeks.json,Governance and provenance hardening
00478,Goserelin 3.6 mg Therapy – 28 day,protocols/genitourinary/00478-goserelin-3-6mg-q28days.json,Governance and provenance hardening
00479,Leuprorelin 22.5 mg Therapy – 12 weeks,protocols/genitourinary/00479-leuprorelin-22-5mg-q12weeks.json,Governance and provenance hardening
00480,Triptorelin 11.25 mg Therapy – 12 weeks,protocols/genitourinary/00480-triptorelin-11-25mg-q12weeks.json,Governance and provenance hardening
00481,Degarelix Therapy,protocols/genitourinary/00481-degarelix.json,Governance and provenance hardening
00482,Bicalutamide Therapy,protocols/genitourinary/00482-bicalutamide.json,Governance and provenance hardening
00488,Triptorelin 22.5 mg Therapy – 24 weeks,protocols/genitourinary/00488-triptorelin-22-5mg-q24weeks.json,Governance and provenance hardening
