id,severity,domain,original_title,v0680_status,v0680_disposition
F022,Medium,Class screening,Several taxane protocols lack explicit hepatic input coverage,Open screening queue,The source reconciled breast taxane records now include hepatic context where required. A residual taxane hepatic screening queue remains for source review.
F023,Medium,Class screening,Immune checkpoint inhibitor endocrine monitoring is not uniform,Open screening queue,Immunotherapy endocrine screening remains deliberately optional and immunotherapy specific. Ten residual platform screening signals remain for current source review.
F024,Medium,Context mapping,Three shared indication mappings remain unresolved,Corrected audit interpretation,"Primary source recheck showed that NCCP 00212 does not include Lung. The earlier audit signal was a false positive and Lung was removed. NCCP 00215 is correctly cross listed to Breast, Gynaecology, Gastrointestinal and Lung."
F025,Medium,Source currency,The Change Tracker has not yet completed its first live NCCP source comparison,Open operational dependency,The first complete live NCCP source comparison has not completed in this build environment. The clinician interface must continue to show the source check as pending until a successful source inspection occurs.
F026,Medium,Change governance,Closed change history is not yet fully persistent in the reader facing tracker,Open product enhancement,"The tracker still needs a permanent reader facing archive of closed changes with reviewer, rationale and applied release."
F027,Medium,Security,The regimen search writes raw user query text into innerHTML,Resolved,Regimen search no longer interpolates raw query text into innerHTML. Search status content is built with text nodes.
F028,Medium,Architecture,Legacy clinical screens and hard coded assessment logic remain in the production index,Open architectural debt,Legacy hidden clinical screens and hard coded historical logic remain in the production page. They are not the preferred workflow but should be removed in a future architecture cleanup.
F029,Low,Clinician interface,Protocol Importer exposes internal publication mechanics and obsolete module version labels,Resolved for clinician interface,The protocol preview remains inside developer tools and visible wording no longer exposes publication mechanics or repository instructions.
F030,Low,Versioning and cache,Some public assets still use historical module cache keys without the cumulative app key,Resolved,All active local JavaScript and CSS assets now carry the cumulative v0.68.0 application cache key.
F031,Medium,Metadata,Source review and record identity metadata are incomplete,Partially resolved,All 376 active protocols now carry a canonical protocol identifier. Source checked dates remain absent on 193 records and NCCP review dates remain absent on 253 records because dates were not fabricated without source confirmation.
F032,Low,Catalogue metadata,Most regimen cards still carry nonblocking metadata review debt,Open low priority metadata debt,"Seventy regimen cards are metadata complete and 306 retain nonblocking review items, mainly duration, intent or cycle interval."
F033,Low,Knowledge base,Evidence relationship taxonomy is inconsistent,Resolved,The active knowledge base now uses a controlled evidence relationship taxonomy.
F034,Low,Knowledge base,Duplicate evidence objects exist,Partially resolved,All evidence records now carry canonical evidence identifiers so repeated publications share identity. Physical duplicate evidence objects remain and can be normalised later without affecting the current reader experience.
F035,Low,Knowledge base,Five evidence records lack the newer structured trial fields,Resolved,"All 66 current evidence records now contain structured population, intervention, comparator, primary endpoint and key findings fields."
F036,Low,Build hygiene,Historical knowledge data are shipped in the production site,Resolved,The production site build now publishes only the current knowledge data file. Historical knowledge data remain in development history but are not shipped in the active static site.
F037,Low,Accessibility,Legacy hidden screens account for most remaining unlabelled controls,Open low priority accessibility debt,"The modern generic workflow is labelled and keyboard oriented, but legacy hidden screens still account for most remaining form label debt."
F038,Low,Privacy,Validation notes can persist locally and be exported as free text,Mitigated,"The validation workspace carries a stronger no patient identifier warning and now requires an explicit identifier free confirmation before JSON or CSV export. Free text remains possible, so reviewer discipline is still required."
F039,Observation,Supportive care,National antiemetic migration is complete in active supportive care links,Preserved positive control,National NCCP antiemetic guidance remains the active supportive care destination and the existing emetogenic traffic light model is preserved.
F040,Observation,Source provenance,All active protocols point to official HSE source domains,Preserved positive control,Active source links continue to use official HSE domains. Source currency still depends on the successful change tracker inspection.
F041,Observation,Validation boundary,No active protocol is marked as clinically authorised,Preserved positive control,No active protocol is marked as clinically authorised. Formal validation remains pending.
F042,Observation,Technical testing,The existing cumulative automated suite is green but does not prove source fidelity,Strengthened but not closed by automation,The cumulative automated suite is green and source fidelity sentinels were added for the high priority reconciliations. Automated testing still cannot prove full clinical source fidelity across all 376 protocols without source by source human review.
